ID,Type,Badcase Error Summary,Has Edge Error,Categories,Category Details,Most Likely Failure Stage,Root Cause,Reason
12598236,dag,node_mismatch; link_mismatch; arg_mismatch(3),True,Missing Edge; Fork-vs-Chain Error,"[{""category"": ""Missing Edge"", ""description"": ""The gold workflow includes a link from 'Image Style Transfer' to 'Image Colorizer', which is missing in the predicted workflow.""}, {""category"": ""Fork-vs-Chain Error"", ""description"": ""The gold workflow has two separate 'Image Downloader' nodes, each feeding into 'Image Style Transfer'. The predicted workflow only includes one 'Image Downloader' node, which may indicate a failure to recognize the need for parallel execution.""}]",dependency_reasoning,The predicted workflow failed to capture the branching structure and the subsequent dependency on the 'Image Colorizer' node.,"The model likely misinterpreted the need for multiple 'Image Downloader' nodes and missed the downstream dependency on 'Image Colorizer', leading to an incomplete and incorrect edge structure."
16735705,dag,node_mismatch; link_mismatch; arg_mismatch(2),True,Missing Edge,"[{""category"": ""Missing Edge"", ""description"": ""The 'Voice Modification Parameters' node is missing in the predicted workflow, which results in a missing edge from this node to the 'Voice Changer' node.""}]",dependency_reasoning,The prediction failed to include the 'Voice Modification Parameters' node and its corresponding dependency link to the 'Voice Changer' node.,"The predicted workflow omitted a necessary predecessor node ('Voice Modification Parameters') that provides essential parameters for the 'Voice Changer' task, leading to a missing edge."
22817672,dag,node_mismatch; link_mismatch; arg_mismatch(3),True,Missing Edge; Missing Edge,"[{""category"": ""Missing Edge"", ""description"": ""The gold workflow includes a link from 'Text Paraphraser' to 'Text Grammar Checker', which is missing in the predicted workflow.""}, {""category"": ""Missing Edge"", ""description"": ""The gold workflow includes a link from 'Text Simplifier' to 'Text Paraphraser', which is missing in the predicted workflow.""}]",dependency_reasoning,"The predicted workflow omitted necessary dependencies between 'Text Simplifier' and 'Text Paraphraser', as well as between 'Text Paraphraser' and 'Text Grammar Checker'.","The model failed to recognize that the text must first be simplified, then paraphrased, and finally checked for grammar before sentiment analysis. It skipped the paraphrasing step entirely, leading to missing edges."
60221669,dag,node_mismatch; link_mismatch; arg_mismatch(2),True,Missing Edge; Extra Edge; Fork-vs-Chain Error,"[{""category"": ""Missing Edge"", ""description"": ""The gold workflow has a link from 'Audio Effects Suggestions' to 'Audio Quality Enhancement', which is missing in the predicted workflow.""}, {""category"": ""Extra Edge"", ""description"": ""The predicted workflow includes an argument 'text' in the 'Audio Effects' node, which is not present in the gold workflow.""}, {""category"": ""Fork-vs-Chain Error"", ""description"": ""The gold workflow has two separate predecessors ('Audio Noise Reduction' and 'Audio Effects Suggestions') feeding into 'Audio Quality Enhancement', but the predicted workflow only includes one predecessor ('Audio Noise Reduction').""}]",dependency_reasoning,The predicted workflow failed to capture the branching structure of the gold workflow and missed a critical dependency.,"The model did not correctly identify that 'Audio Effects Suggestions' should feed into 'Audio Quality Enhancement' and incorrectly omitted this edge, leading to a chain instead of a fork structure."
24271097,dag,link_mismatch; arg_mismatch(2),True,Missing Edge,"[{""category"": ""Missing Edge"", ""description"": ""The edge from 'Text Downloader' to 'Video Speed Changer' is missing in the predicted workflow.""}]",dependency_reasoning,The model failed to recognize that the 'Text Downloader' node must provide input to the 'Video Speed Changer' node for the playback speed adjustment.,"The predicted workflow omitted a necessary dependency between 'Text Downloader' and 'Video Speed Changer', which is required for the video speed adjustment based on the downloaded text instructions."
79253895,dag,node_mismatch; link_mismatch; arg_mismatch(2),True,Missing Edge; Fork-vs-Chain Error,"[{""category"": ""Missing Edge"", ""description"": ""The gold workflow has edges from 'Text Translator' to both 'Text Summarizer' and 'URL Extractor', but the predicted workflow lacks these edges.""}, {""category"": ""Fork-vs-Chain Error"", ""description"": ""The gold workflow requires a fork structure where 'Text Translator' feeds into both 'Text Summarizer' and 'URL Extractor', but the predicted workflow does not establish this branching structure.""}]",dependency_reasoning,The prediction failed to recognize that the output of the 'Text Translator' needs to be used by two separate downstream tasks.,"The model did not correctly identify the need for multiple dependencies from the 'Text Translator' node to downstream nodes, leading to missing edges in the predicted workflow."
36677025,dag,node_mismatch; link_mismatch; arg_mismatch(4),True,Missing Edge; Extra Edge; Wrong Predecessor,"[{""category"": ""Missing Edge"", ""description"": ""The predicted workflow is missing the edge from 'Topic Generator' to 'Keyword Extractor' and from 'Keyword Extractor' to 'Text Grammar Checker' that exist in the gold workflow.""}, {""category"": ""Extra Edge"", ""description"": ""The predicted workflow contains extra edges from 'Text Downloader' to 'Topic Generator', 'Keyword Extractor', and 'Text Grammar Checker' that are not present in the gold workflow.""}, {""category"": ""Wrong Predecessor"", ""description"": ""The predicted workflow incorrectly connects 'Text Downloader' as a predecessor to 'Topic Generator', 'Keyword Extractor', and 'Text Grammar Checker', whereas the gold workflow uses 'Topic Generator' as the predecessor to 'Keyword Extractor' and 'Keyword Extractor' as the predecessor to 'Text Grammar Checker'.""}]",dependency_reasoning; predecessor_selection,"The model failed to correctly identify the sequential dependencies between tasks, leading to incorrect predecessor selection and missing required links.","The predicted workflow incorrectly assumes that 'Text Downloader' is the direct predecessor for multiple downstream tasks, while also omitting the necessary sequential links between 'Topic Generator', 'Keyword Extractor', and 'Text Grammar Checker'. This indicates a failure in understanding the correct task sequence and dependencies."
46379227,dag,node_mismatch; link_mismatch; arg_mismatch(4),True,Missing Edge; Missing Edge; Extra Edge,"[{""category"": ""Missing Edge"", ""description"": ""The edge from 'Video Synchronization' to 'Video-to-Audio' is missing in the predicted workflow.""}, {""category"": ""Missing Edge"", ""description"": ""The edge from 'Video-to-Audio' to 'Audio-to-Image' is missing in the predicted workflow.""}, {""category"": ""Extra Edge"", ""description"": ""An extra edge exists from 'Video Synchronization' to 'Audio Noise Reduction' in the predicted workflow, which is not present in the gold workflow.""}]",dependency_reasoning,"The predicted workflow incorrectly connects 'Video Synchronization' directly to 'Audio Noise Reduction', skipping necessary intermediate steps. It also omits critical dependencies between 'Video Synchronization' and 'Video-to-Audio', and between 'Video-to-Audio' and 'Audio-to-Image'.",The model failed to correctly identify the sequence of operations required to extract audio from the synchronized video before applying noise reduction and generating a waveform image.
79094671,dag,link_mismatch; arg_mismatch(1),True,Missing Edge,"[{""category"": ""Missing Edge"", ""description"": ""The edge from 'Audio Noise Reduction' to 'Video Synchronization' is missing in the predicted workflow, which is present in the gold workflow.""}]",dependency_reasoning,The model failed to recognize that both the noise-reduced audio and the voiceover video need to be inputs to the synchronization task.,"The predicted workflow omitted a necessary dependency between 'Audio Noise Reduction' and 'Video Synchronization', leading to an incomplete set of inputs for the synchronization task."
28687369,dag,node_mismatch; link_mismatch; arg_mismatch(3),True,Type-Incompatible Edge,"[{""category"": ""Type-Incompatible Edge"", ""description"": ""The predicted workflow connects the 'Image Style Transfer' node to the 'Audio-to-Image' node, but the 'Image Style Transfer' node requires two image inputs (content and style), while only one image is provided from the 'Audio-to-Image' node.""}]",dependency_reasoning,"The model incorrectly assumed that the output of the 'Audio-to-Image' node could serve as both the content and style input for the 'Image Style Transfer' node, without explicitly connecting the 'Image Style Transfer' node to a separate style source.","The model failed to recognize that the 'Image Style Transfer' node requires two distinct image inputs (content and style), and it incorrectly used the output of the 'Audio-to-Image' node as both inputs, leading to a type-incompatible edge."
59617358,dag,node_mismatch; link_mismatch; arg_mismatch(4),True,Missing Edge; Missing Edge; Missing Edge; Extra Edge; Extra Edge,"[{""category"": ""Missing Edge"", ""description"": ""The gold workflow has a link from 'Text Grammar Checker' to 'Keyword Extractor', which is missing in the predicted workflow.""}, {""category"": ""Missing Edge"", ""description"": ""The gold workflow has a link from 'Keyword Extractor' to 'Text Simplifier', which is missing in the predicted workflow.""}, {""category"": ""Missing Edge"", ""description"": ""The gold workflow has a link from 'Text Simplifier' to 'Video Voiceover', which is missing in the predicted workflow.""}, {""category"": ""Extra Edge"", ""description"": ""The predicted workflow has an edge from 'Text-to-Video' to 'Video Synchronization', which does not exist in the gold workflow.""}, {""category"": ""Extra Edge"", ""description"": ""The predicted workflow has an edge from 'Video Synchronization' to 'Video Voiceover', which does not exist in the gold workflow.""}]",dependency_reasoning,"The predicted workflow completely restructures the sequence of tasks and introduces new dependencies that are not present in the gold workflow, while omitting all the original dependencies.","The model failed to recognize the sequential processing of text through grammar checking, keyword extraction, and simplification before adding a voiceover. Instead, it introduced a direct video generation and synchronization approach, leading to missing and extra edges."
21494947,dag,link_mismatch; arg_mismatch(2),True,Missing Edge,"[{""category"": ""Missing Edge"", ""description"": ""The gold workflow includes a link from 'Topic Generator' to 'Text-to-Image', which is missing in the predicted workflow.""}]",dependency_reasoning,"The predicted workflow failed to establish the dependency between the 'Topic Generator' and 'Text-to-Image' nodes, which is explicitly defined in the gold workflow.","The model likely misinterpreted or overlooked the explicit dependency between the 'Topic Generator' and 'Text-to-Image' tasks, leading to the omission of this edge in the predicted workflow."
